X,Y,Name,Emissions
-742622.783308,-1045898.166019,"Kongresové centrum Praha, a.s.",2655.543198
-734379.58,-1047209.4,"Zentiva, k.s.",2997.287712
-748958.722769,-1045536.818991,UNITED BAKERIES a.s.,3054.823274
-749114.692059,-1047399.538175,"Veolia Energie Praha, a.s.",3112.073728
-747603.701825,-1043719.923232,Nemocnice Na Homolce,3216.830646
-749721.297554,-1047318.969134,"Veolia Energie ČR, a.s.",3255.2812000000004
-735815.270244,-1044902.247372,Svoboda Press s.r.o.,3569.658445
-739943,-1047138.18,Pražská teplárenská a.s.,3762.35879
-748328.986689,-1046548.659984,"Veolia Energie Praha, a.s.",4008.249346
-749057.398725,-1045878.175189,"Veolia Energie ČR, a.s.",4031.357315
-748555.085149,-1045931.2107,"Veolia Energie Praha, a.s.",4137.238088
-750398.6900000001,-1041370.96,"Veolia Energie Praha, a.s.",4159.808098
-735719.798619,-1045777.426159,České teplo s.r.o.,4219.730149
-747736.710158,-1056080.976534,"Veolia Energie Praha, a.s.",4948.674396
-747409.81929,-1048934.310624,"Veolia Energie Praha, a.s.",5103.669789
-735338.417507,-1037490.18735,TEDOM a.s.,5104.724644
-740954.831933,-1050336.441757,Fakultní Thomayerova nemocnice,5242.631198
-750049.955846,-1047293.327662,"Veolia Energie Praha, a.s.",5386.87338
-735550.03,-1044315.22,Pražská teplárenská a.s.,5937.433867
-750972.83583,-1046744.343581,"Veolia Energie Praha, a.s.",6134.078057
-743966.434929,-1044985.05384,Pivovary Staropramen s.r.o.,6845.321864
-751459.743051,-1044733.974159,"Veolia Energie Praha, a.s.",7990.028529
-753060.894059,-1039343.787386,"Letiště Praha, a. s.",10054.987819
-736898.604477,-1046842.394356,Trelleborg Wheel Systems Czech Republic a.s.,11289.061994
-748973.781366,-1043924.452156,Fakultní nemocnice v Motole,11904.836408
-744650.726621,-1040039.253961,"Veolia Energie Praha, a.s.",22720.694831
-747296.920901,-1041801.071384,"Veolia Energie Praha, a.s.",28932.046508
-743591.86533,-1040131.526474,"Pražské vodovody a kanalizace, a.s.",88957.751258
-734444.81,-1045131.76,"Pražské služby, a.s.",243914.218326
-749897.74,-1052339.37,"Českomoravský cement, a.s.",523598.953109
